"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R28XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R28XX.R.A.A._Z._Z.A_FLAGS
2020-12;-0,16;
2021-01;-0,07;
2021-02;0,19;
2021-03;0,29;
2021-04;0,34;
2021-05;0,37;
2021-06;0,28;
2021-07;0,02;
2021-08;0,02;
2021-09;0,22;
2021-10;0,12;
2021-11;-0,08;
2021-12;0,11;
2022-01;0,20;
2022-02;0,40;
2022-03;0,68;
2022-04;0,98;
2022-05;1,30;
2022-06;1,66;
2022-07;1,15;
2022-08;1,61;
2022-09;2,10;
2022-10;2,19;
2022-11;1,81;
2022-12;2,44;
2023-01;2,21;
2023-02;2,56;
2023-03;2,35;
2023-04;2,45;
2023-05;2,40;
2023-06;2,45;
2023-07;2,57;
2023-08;2,59;
2023-09;2,98;
2023-10;3,01;
2023-11;2,64;
2023-12;2,24;
2024-01;2,42;
2024-02;2,61;
2024-03;2,44;
2024-04;2,66;
2024-05;2,81;
2024-06;2,62;
2024-07;2,53;
2024-08;2,49;
2024-09;2,47;
2024-10;2,61;
2024-11;2,30;
2024-12;2,59;
