"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R14XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R14XX.R.A.A._Z._Z.A_FLAGS
2004-10;4,20;
2004-11;4,09;
2004-12;3,98;
2005-01;3,79;
2005-02;3,93;
2005-03;3,93;
2005-04;3,70;
2005-05;3,54;
2005-06;3,42;
2005-07;3,43;
2005-08;3,39;
2005-09;3,41;
2005-10;3,62;
2005-11;3,61;
2005-12;3,44;
2006-01;3,64;
2006-02;3,65;
2006-03;3,90;
2006-04;4,14;
2006-05;4,11;
2006-06;4,24;
2006-07;4,09;
2006-08;3,94;
2006-09;3,79;
2006-10;3,87;
2006-11;3,81;
2006-12;4,03;
2007-01;4,18;
2007-02;4,05;
2007-03;4,16;
2007-04;4,32;
2007-05;4,48;
2007-06;4,65;
2007-07;4,46;
2007-08;4,43;
2007-09;4,50;
2007-10;4,37;
2007-11;4,33;
2007-12;4,56;
2008-01;4,26;
2008-02;4,27;
2008-03;4,30;
2008-04;4,47;
2008-05;4,67;
2008-06;4,80;
2008-07;4,67;
2008-08;4,43;
2008-09;4,40;
2008-10;4,26;
2008-11;3,76;
2008-12;3,52;
2009-01;3,89;
2009-02;3,79;
2009-03;3,74;
2009-04;3,88;
2009-05;4,18;
2009-06;4,01;
2009-07;3,89;
2009-08;3,72;
2009-09;3,72;
2009-10;3,84;
2009-11;3,68;
2009-12;3,89;
2010-01;3,72;
2010-02;3,66;
2010-03;3,62;
2010-04;3,50;
2010-05;3,16;
2010-06;3,11;
2010-07;3,19;
2010-08;2,53;
2010-09;2,71;
2010-10;2,97;
2010-11;3,14;
2010-12;3,42;
2011-01;3,55;
2011-02;3,53;
2011-03;3,72;
2011-04;3,63;
2011-05;3,42;
2011-06;3,46;
2011-07;3,13;
2011-08;2,71;
2011-09;2,45;
2011-10;2,70;
2011-11;2,86;
2011-12;2,35;
2012-01;2,41;
2012-02;2,37;
2012-03;2,40;
2012-04;2,25;
2012-05;1,77;
2012-06;2,15;
2012-07;1,89;
2012-08;1,88;
2012-09;1,98;
2012-10;2,04;
2012-11;1,93;
2012-12;1,83;
2013-01;2,05;
2013-02;1,99;
2013-03;1,82;
2013-04;1,72;
2013-05;1,98;
2013-06;2,18;
2013-07;2,20;
2013-08;2,36;
2013-09;2,29;
2013-10;2,24;
2013-11;2,30;
2013-12;2,52;
2014-01;2,19;
2014-02;2,13;
2014-03;2,11;
2014-04;2,06;
2014-05;1,90;
2014-06;1,79;
2014-07;1,67;
2014-08;1,37;
2014-09;1,45;
2014-10;1,27;
2014-11;1,11;
2014-12;0,95;
2015-01;0,61;
2015-02;0,64;
2015-03;0,40;
2015-04;0,56;
2015-05;0,86;
2015-06;1,25;
2015-07;1,03;
2015-08;1,07;
2015-09;0,96;
2015-10;0,86;
2015-11;0,89;
2015-12;1,09;
2016-01;0,71;
2016-02;0,45;
2016-03;0,46;
2016-04;0,57;
2016-05;0,48;
2016-06;0,11;
2016-07;0,08;
2016-08;0,09;
2016-09;0,05;
2016-10;0,42;
2016-11;0,54;
2016-12;0,54;
2017-01;0,79;
2017-02;0,55;
2017-03;0,67;
2017-04;0,67;
2017-05;0,69;
2017-06;0,80;
2017-07;0,91;
2017-08;0,69;
2017-09;0,79;
2017-10;0,78;
2017-11;0,75;
2017-12;0,78;
2018-01;0,94;
2018-02;0,97;
2018-03;0,79;
2018-04;0,86;
2018-05;0,72;
2018-06;0,65;
2018-07;0,70;
2018-08;0,63;
2018-09;0,73;
2018-10;0,66;
2018-11;0,61;
2018-12;0,51;
2019-01;0,39;
2019-02;0,41;
2019-03;0,19;
2019-04;0,29;
2019-05;0,06;
2019-06;-0,08;
2019-07;-0,21;
2019-08;-0,52;
2019-09;-0,40;
2019-10;-0,24;
2019-11;-0,19;
2019-12;0,00;
2020-01;-0,24;
2020-02;-0,46;
2020-03;-0,31;
2020-04;-0,35;
2020-05;-0,24;
2020-06;-0,33;
2020-07;-0,42;
2020-08;-0,21;
2020-09;-0,41;
2020-10;-0,48;
2020-11;-0,44;
2020-12;-0,42;
2021-01;-0,38;
2021-02;-0,09;
2021-03;-0,05;
2021-04;0,01;
2021-05;0,05;
2021-06;-0,02;
2021-07;-0,28;
2021-08;-0,27;
2021-09;-0,05;
2021-10;-0,03;
2021-11;-0,27;
2021-12;-0,10;
2022-01;0,03;
2022-02;0,25;
2022-03;0,62;
2022-04;0,85;
2022-05;1,21;
2022-06;1,59;
2022-07;1,06;
2022-08;1,62;
2022-09;2,16;
2022-10;2,25;
2022-11;1,95;
2022-12;2,57;
2023-01;2,33;
2023-02;2,68;
2023-03;2,40;
2023-04;2,39;
2023-05;2,37;
2023-06;2,44;
2023-07;2,59;
2023-08;2,59;
2023-09;2,95;
2023-10;2,92;
2023-11;2,61;
2023-12;2,20;
2024-01;2,36;
2024-02;2,61;
2024-03;2,43;
2024-04;2,66;
2024-05;2,81;
2024-06;2,61;
2024-07;2,47;
2024-08;2,41;
2024-09;2,35;
2024-10;2,56;
2024-11;2,25;
2024-12;2,54;
