"date","eu_price","eu_gdtr_l1","eu_gdtr_l2","eu_ndtr_l1","eu_ndtr_l2","eu_gdtr_s1","eu_gdtr_s2","eu_ndtr_s1","eu_ndtr_s2"
1975-02-08,111.15178,111.39361,122.50245,111.32134,122.34444,90.63898,81.13445,90.69825,81.24114
1975-02-09,110.76858,111.01487,121.65343,110.94125,121.49327,90.96537,81.7097,91.02607,81.8193
1975-02-10,110.49745,110.74722,121.052,110.67275,120.88985,91.20224,82.12628,91.26413,82.23831
1975-02-11,110.54726,110.80051,121.15506,110.72488,120.99056,91.17359,82.0668,91.23629,82.18025
1975-02-12,112.50233,112.76949,125.44983,112.68952,125.27341,89.56495,79.1647,89.62885,79.27827
1975-02-13,113.43723,113.71485,127.5374,113.63177,127.3526,88.83157,77.85958,88.89689,77.97472
1975-02-14,113.73346,114.01652,128.1998,113.93197,128.01077,88.61133,77.46572,88.67763,77.58229
1975-02-15,113.63761,113.92409,127.9774,113.83845,127.78632,88.69829,77.61021,88.76548,77.72844
1975-02-16,113.16365,113.45442,126.90802,113.36746,126.71484,89.07872,78.26853,89.14748,78.39001
1975-02-17,112.72705,113.02209,125.92707,112.93392,125.73184,89.43255,78.88303,89.50283,79.00766
1975-02-18,112.95459,113.25451,126.43627,113.16497,126.23737,89.25619,78.5676,89.32736,78.69354
1975-02-19,113.58497,113.89398,127.85792,113.80177,127.6519,88.75609,77.68448,88.82859,77.81204
1975-02-20,114.65307,114.97361,130.27537,114.87788,130.05978,87.91871,76.21597,87.9925,76.34458
1975-02-21,114.69835,115.02238,130.37754,114.92555,130.15941,87.88808,76.15899,87.96263,76.2889
1975-02-22,114.31307,114.64123,129.50321,114.5431,129.28314,88.18803,76.67416,88.264,76.80694
1975-02-23,113.52138,113.85394,127.71346,113.75462,127.49196,88.80382,77.73958,88.88184,77.87686
1975-02-24,112.4546,112.79087,125.31675,112.69057,125.09468,89.64497,79.206,89.72538,79.34876
1975-02-25,109.08142,109.4177,117.80042,109.3174,117.58501,92.35073,83.97541,92.43595,84.13099
1975-02-26,110.38915,110.73789,120.62168,110.63372,120.39564,91.26501,81.98688,91.35139,82.14268
1975-02-27,110.28726,110.63944,120.38361,110.53417,120.15577,91.3765,82.17259,91.46384,82.33028
1975-02-28,111.5914,111.95631,123.22205,111.84708,122.98327,90.32502,80.26423,90.41347,80.42208
1975-03-01,112.13762,112.51118,124.41612,112.39954,124.17054,89.91249,79.51445,90.00218,79.67376
1975-03-02,112.47479,112.8547,125.1487,112.74113,124.89824,89.67228,79.07344,89.76298,79.23406
1975-03-03,113.00044,113.38879,126.30659,113.27263,126.04938,89.28127,78.36813,89.37316,78.53014
1975-03-04,114.36722,114.76919,129.35731,114.64893,129.08801,88.22419,76.49834,88.31708,76.66014
1975-03-05,115.1308,115.54323,131.08007,115.41986,130.80185,87.65471,75.4987,87.74882,75.66155
1975-03-06,114.50911,114.92574,129.65529,114.80113,129.37591,88.14987,76.33927,88.24592,76.50636
1975-03-07,116.37003,116.8029,133.86893,116.67356,133.57407,86.7351,73.87703,86.83179,74.04252
1975-03-08,117.32135,117.76632,136.05451,117.63336,135.74905,86.04418,72.68873,86.14198,72.85476
1975-03-09,118.02606,118.48135,137.68464,118.34535,137.37012,85.54549,71.83514,85.64444,72.00212
1975-03-10,118.20209,118.6623,138.08204,118.52479,137.76376,85.4386,71.6448,85.53831,71.81284
1975-03-11,116.5372,116.9992,134.18754,116.86112,133.87256,86.66071,73.68323,86.76361,73.859
1975-03-12,115.09627,115.56039,130.86449,115.42169,130.552,87.75108,75.52598,87.85699,75.70908
1975-03-13,115.84476,116.31969,132.56402,116.17769,132.24214,87.197,74.56155,87.30404,74.74541
1975-03-14,117.19493,117.68443,135.65586,117.53801,135.32035,86.1938,72.8365,86.30163,73.01955
1975-03-15,117.99643,118.49761,137.51105,118.34771,137.16533,85.6181,71.85425,85.727,72.03788
1975-03-16,118.59492,119.10577,138.90313,118.95308,138.54883,85.19856,71.14077,85.30852,71.32524
1975-03-17,118.68718,119.20241,139.10775,119.04843,138.75032,85.14986,71.05008,85.26056,71.23566
1975-03-18,117.16456,117.68111,135.53639,117.52675,135.18258,86.25729,72.88866,86.37113,73.08188
1975-03-19,115.77344,116.29169,132.31569,116.13682,131.96498,87.29672,74.63554,87.41363,74.83626
1975-03-20,115.06778,115.5893,130.69897,115.43348,130.34816,87.84354,75.56125,87.96264,75.76697
1975-03-21,114.92099,115.44569,130.35801,115.28888,130.00558,87.96954,75.76984,88.08966,75.97759
1975-03-22,114.33496,114.86312,129.0274,114.70525,128.67449,88.42876,76.55339,88.55089,76.76567
1975-03-23,113.24591,113.77626,126.57186,113.61788,126.22088,89.27957,78.01944,89.40452,78.23864
1975-03-24,112.7012,113.23464,125.35417,113.07538,125.0027,89.71806,78.77887,89.845,79.0026
1975-03-25,113.70063,114.24713,127.58069,114.0839,127.21748,88.93257,77.39113,89.06038,77.6144
1975-03-26,115.82834,116.39495,132.36467,116.22563,131.98136,87.27364,74.49728,87.40133,74.71615
1975-03-27,116.45286,117.02991,133.80328,116.85746,133.41077,86.80014,73.68687,86.9288,73.90621
1975-03-28,116.5889,117.1705,134.11827,116.99681,133.72221,86.69948,73.51352,86.82885,73.7338
1975-03-29,116.52437,117.10909,133.96745,116.93447,133.5694,86.75353,73.6006,86.88377,73.82248
1975-03-30,116.26721,116.85498,133.37086,116.67933,132.97163,86.95682,73.93823,87.08832,74.16275
1975-03-31,115.83098,116.42205,132.36333,116.24553,131.96346,87.29924,74.51102,87.43246,74.73934
1975-04-01,114.84099,115.43425,130.09724,115.25692,129.69942,88.06129,75.80185,88.19726,76.03683
1975-04-02,114.05043,114.64635,128.30362,114.46818,127.90681,88.68123,76.86008,88.81967,77.10097
1975-04-03,113.47006,114.0689,126.99763,113.89005,126.60085,89.14227,77.65198,89.28283,77.89777
1975-04-04,113.15063,113.75248,126.2836,113.57283,125.88599,89.39785,78.0927,89.5399,78.34176
1975-04-05,112.69592,113.30088,125.27119,113.12017,124.87318,89.76121,78.72291,89.90511,78.97621
1975-04-06,112.41441,113.02239,124.64607,112.84067,124.24716,89.9902,79.11993,90.1355,79.37633
1975-04-07,112.45158,113.06303,124.72676,112.88049,124.32534,89.96611,79.07291,90.11219,79.3306
1975-04-08,113.45082,114.07613,126.9473,113.88927,126.53327,89.17585,77.67585,89.32263,77.93248
1975-04-09,115.79966,116.44794,132.20827,116.25418,131.77051,87.342,74.47135,87.48808,74.72144
1975-04-10,117.78889,118.45787,136.75656,118.25812,136.29715,85.8506,71.92024,85.99637,72.1655
1975-04-11,118.40322,119.08319,138.1868,118.87999,137.71747,85.40949,71.17525,85.55612,71.42068
1975-04-12,119.14793,119.84007,139.93078,119.63337,139.44995,84.8781,70.28386,85.02556,70.5291
1975-04-13,120.04321,120.7493,142.04038,120.53816,141.54637,84.24564,69.23085,84.3938,69.47542
1975-04-14,120.92471,121.64437,144.13321,121.42932,143.62592,83.63214,68.21714,83.78101,68.46107
1975-04-15,121.66753,122.39975,145.90714,122.18112,145.38785,83.12715,67.38659,83.27681,67.6303
1975-04-16,121.83338,122.57106,146.29725,122.35061,145.77361,83.02666,67.21646,83.17698,67.46093
1975-04-17,122.67148,123.42248,148.30935,123.19803,147.77244,82.46888,66.30477,82.61992,66.54873
1975-04-18,120.96697,121.71633,144.18508,121.49219,143.65705,83.63051,68.16322,83.78537,68.41674
1975-04-19,121.35357,122.11103,145.09579,121.88459,144.56031,83.38321,67.74948,83.53881,68.00343
1975-04-20,122.22036,122.99165,147.16243,122.76109,146.61326,82.80763,66.80282,82.96391,67.05607
1975-04-21,122.61318,123.39297,148.09475,123.16004,147.53789,82.56442,66.3987,82.72144,66.65235
1975-04-22,122.35715,123.13978,147.45821,122.90595,146.90054,82.76125,66.70345,82.91953,66.9597
1975-04-23,120.46,121.23914,142.87833,121.00627,142.33177,84.06574,68.79444,84.22828,69.06156
1975-04-24,120.09811,120.87996,142.00411,120.64634,141.45735,84.34266,69.23542,84.50678,69.50597
1975-04-25,121.39527,122.19503,145.06771,121.95611,144.5027,83.45127,67.76039,83.61558,68.02835
1975-04-26,121.74319,122.55059,145.88568,122.30948,145.31359,83.23437,67.39675,83.39938,67.6651
1975-04-27,121.74546,122.55661,145.87277,122.3142,145.29813,83.25661,67.42129,83.42241,67.69095
1975-04-28,121.43131,122.2453,145.10416,122.00195,144.52915,83.49481,67.79545,83.66206,68.06819
1975-04-29,120.13151,120.94469,141.98796,120.70161,141.41977,84.41131,69.27153,84.58199,69.55281
1975-04-30,122.18545,123.02266,146.84176,122.77235,146.24709,82.98643,66.92161,83.15635,67.19682
1975-05-01,123.42374,124.27872,149.81519,124.02318,149.20189,82.16285,65.58293,82.33296,65.85567
1975-05-02,125.11316,125.98969,153.91611,125.72771,153.27889,81.05407,63.80306,81.22384,64.07154
1975-05-03,125.71051,126.59875,155.37949,126.33334,154.7307,80.68375,63.21081,80.85421,63.4791
1975-05-04,126.00221,126.89771,156.0891,126.63013,155.43359,80.51401,62.93592,80.6851,63.20458
1975-05-05,125.93825,126.83719,155.91627,126.56831,155.25867,80.57253,63.01877,80.74447,63.28894
1975-05-06,123.65053,124.54245,150.2524,124.27596,149.61178,82.04894,65.32017,82.22582,65.60301
1975-05-07,124.05657,124.95762,151.23181,124.68828,150.58267,81.79522,64.90751,81.97275,65.19048
1975-05-08,124.58449,125.49624,152.51329,125.22371,151.85356,81.46253,64.37078,81.64073,64.6536
1975-05-09,125.84768,126.77848,155.60629,126.5002,154.92634,80.65043,63.07862,80.82868,63.35868
1975-05-10,126.06221,126.99886,156.12431,126.71894,155.43874,80.53004,62.88172,80.70891,63.16228
1975-05-11,126.12579,127.06691,156.26789,126.78573,155.57884,80.50689,62.83698,80.68645,63.1185
1975-05-12,126.34673,127.29421,156.80317,127.01101,156.10837,80.38295,62.63489,80.5631,62.91688
1975-05-13,126.64522,127.6001,157.53256,127.31462,156.83071,80.21023,62.35698,80.39099,62.63926
1975-05-14,127.46748,128.43737,159.57436,128.14736,158.857,79.7053,61.56284,79.88656,61.84409
1975-05-15,127.0854,128.05772,158.60459,127.76701,157.88764,79.96293,61.95154,80.14577,62.2361
1975-05-16,125.63674,126.60657,154.98218,126.31658,154.27547,80.89255,63.38215,81.07908,63.6757
1975-05-17,125.5741,126.54726,154.81008,126.25633,154.10136,80.95406,63.4685,81.14146,63.7636
1975-05-18,125.74523,126.72399,155.2158,126.43131,154.50209,80.86448,63.31805,81.0525,63.61375
1975-05-19,125.68806,126.6701,155.05742,126.37656,154.34164,80.92214,63.39841,81.11103,63.69564
1975-05-20,125.01467,125.99842,153.38619,125.70413,152.67319,81.37457,64.09743,81.56581,64.39997
1975-05-21,123.16922,124.14715,148.85156,123.85474,148.15328,82.59486,66.0093,82.79067,66.32354
1975-05-22,123.15714,124.13872,148.80441,123.84505,148.10368,82.62564,66.04764,82.82226,66.36326
1975-05-23,124.69203,125.69554,152.51204,125.39529,151.78692,81.61228,64.41761,81.80843,64.72856
1975-05-24,124.70996,125.71752,152.54,125.41624,151.81201,81.6207,64.42115,81.81761,64.73327
1975-05-25,124.44675,125.4568,151.8818,125.15481,151.15365,81.8128,64.71458,82.01106,65.02953
1975-05-26,124.08694,125.09913,150.99031,124.79646,150.26274,82.06909,65.1101,82.26897,65.42856
1975-05-27,124.33845,125.35744,151.58838,125.05291,150.85447,81.92312,64.86832,82.12359,65.18711
1975-05-28,123.36016,124.37867,149.19492,124.074,148.46722,82.58641,65.9086,82.78997,66.23482
1975-05-29,123.52016,124.54426,149.56699,124.23798,148.83449,82.49985,65.76028,82.70403,66.0871
1975-05-30,126.51862,127.57872,156.83014,127.2617,156.05411,80.51285,62.58263,80.71433,62.8972
1975-05-31,127.30993,128.38528,158.78738,128.0638,157.99535,80.02599,61.81635,80.22787,62.1296
1975-06-01,127.83144,128.91817,160.07995,128.59321,159.27626,79.7155,61.3275,79.91793,61.64033
1975-06-02,128.21766,129.31378,161.03605,128.98588,160.22314,79.49239,60.97522,79.69536,61.28797
1975-06-03,128.05483,129.15361,160.61231,128.82504,159.79844,79.61123,61.14893,79.81527,61.46375
1975-06-04,127.65351,128.75439,159.59649,128.42503,158.78371,79.87562,61.5473,80.08136,61.86573
1975-06-05,128.02615,129.13615,160.52162,128.80434,159.69981,79.65581,61.20122,79.86207,61.51954
1975-06-06,127.67257,128.7848,159.62644,128.45228,158.80537,79.88975,61.55331,80.09757,61.87495
1975-06-07,127.39653,128.51113,158.92568,128.17775,158.10475,80.07713,61.83455,80.28632,62.15901
1975-06-08,127.11918,128.23595,158.22361,127.90218,157.40283,80.26622,62.11896,80.47678,62.44628
1975-06-09,126.49522,127.61334,156.66497,127.27899,155.84741,80.67398,62.74236,80.88686,63.07489
1975-06-10,125.06976,126.18357,153.13191,125.85056,152.32676,81.59662,64.1694,81.8135,64.51193
1975-06-11,125.13108,126.24921,153.26784,125.91474,152.45918,81.57453,64.12587,81.7921,64.46935
1975-06-12,124.53222,125.65159,151.79508,125.31696,150.98952,81.9794,64.75424,82.19931,65.10307
1975-06-13,125.11033,126.24258,153.202,125.904,152.38363,81.61166,64.16549,81.83203,64.51344
1975-06-14,125.62315,126.76704,154.45412,126.42502,153.62401,81.29036,63.65247,81.51121,63.99978
1975-06-15,126.0924,127.24694,155.60283,126.90178,154.76174,81.00034,63.19051,81.22168,63.5373
1975-06-16,126.3207,127.48208,156.15605,127.13465,155.30856,80.8687,62.97734,81.09058,63.32436
1975-06-17,125.11259,126.27088,153.16722,125.92469,152.33017,81.65522,64.19445,81.88076,64.55053
1975-06-18,125.07146,126.23325,153.05356,125.88566,152.21439,81.69864,64.25446,81.92505,64.61204
1975-06-19,127.50163,128.69659,159.00428,128.33938,158.12468,80.1244,61.76952,80.34854,62.11658
1975-06-20,128.30992,129.52121,161.01779,129.15903,160.12064,79.63095,61.00024,79.85534,61.3455
1975-06-21,128.85954,130.08361,162.39099,129.71751,161.48076,79.30534,60.49295,79.53017,60.83742
1975-06-22,129.32425,130.55929,163.55395,130.19007,162.63224,79.03543,60.07272,79.26071,60.41667
1975-06-23,129.94274,131.19184,165.11255,130.81824,164.1762,78.67301,59.51332,78.89869,59.85623
1975-06-24,131.07329,132.34252,167.98182,131.96297,167.022,78.00499,58.49352,78.23048,58.83319
1975-06-25,131.33536,132.61258,168.63837,132.23042,167.67099,77.86798,58.27907,78.09397,58.61883
1975-06-26,132.10781,133.40107,170.61609,133.01445,169.63074,77.42678,57.60971,77.65303,57.94788
1975-06-27,132.46951,133.77229,171.5366,133.38249,170.54147,77.23323,57.31284,77.45993,57.6508
1975-06-28,132.90177,134.21516,172.64366,133.82231,171.63717,76.99928,56.95683,77.22642,57.29436
1975-06-29,133.44138,134.76762,174.03556,134.37084,173.01531,76.70411,56.51142,76.93165,56.8482
1975-06-30,133.85232,135.18881,175.09437,134.78892,174.06308,76.48595,56.18129,76.71392,56.51769
1975-07-01,133.68855,135.02804,174.64902,134.62729,173.617,76.59772,56.33718,76.82676,56.6756
1975-07-02,133.41421,134.75588,173.91712,134.35434,172.88568,76.77227,56.58583,77.00266,56.92697
1975-07-03,134.32288,135.68287,176.28406,135.27589,175.23142,76.26283,55.82725,76.49328,56.16618
1975-07-04,134.1076,135.47001,175.70755,135.0624,174.65481,76.3987,56.01952,76.63033,56.36074
1975-07-05,133.92742,135.29238,175.22358,134.88401,174.17033,76.51498,56.18343,76.74772,56.52675
1975-07-06,133.95043,135.31978,175.2708,134.90994,174.21412,76.51564,56.17782,76.74907,56.52213
1975-07-07,133.85723,135.22976,175.01492,134.81904,173.95659,76.58238,56.26928,76.81672,56.61519
1975-07-08,133.1961,134.56892,173.28062,134.15814,172.22738,76.97319,56.8368,77.20992,57.18795
1975-07-09,134.96193,136.36358,177.87983,135.94439,176.79047,75.96279,55.33796,76.19825,55.68256
1975-07-10,135.98287,137.40498,180.57485,136.97937,179.46145,75.39691,54.50764,75.63223,54.84944
1975-07-11,136.09626,137.5239,180.86881,137.09672,179.7502,75.34317,54.42508,75.57904,54.76741
1975-07-12,136.44626,137.88337,181.79539,137.4535,180.66647,75.15789,54.15252,75.39415,54.49453
1975-07-13,136.9989,138.44938,183.26878,138.01539,182.12478,74.86112,53.71995,75.09768,54.06102
1975-07-14,137.5704,139.03466,184.79894,138.59667,183.6393,74.55649,53.27782,74.79334,53.61788
1975-07-15,138.07719,139.5543,186.15846,139.11219,184.98459,74.29101,52.89307,74.52818,53.23234
1975-07-16,137.84719,139.32639,185.52746,138.88377,184.3538,74.42673,53.08053,74.66509,53.42209
1975-07-17,136.29607,137.76776,181.35348,137.32724,180.19909,75.27363,54.28278,75.51614,54.63414
1975-07-18,136.60343,138.08388,182.16358,137.6408,180.99971,75.11529,54.04854,75.3582,54.39969
1975-07-19,136.4723,137.95593,181.80265,137.51192,180.6377,75.19982,54.16417,75.44371,54.51709
1975-07-20,136.43418,137.92131,181.68788,137.47629,180.52041,75.23442,54.20763,75.4791,54.56182
1975-07-21,136.11136,137.60037,180.8162,137.15462,179.65025,75.42668,54.47785,75.67284,54.83504
1975-07-22,134.05779,135.53384,175.35478,135.092,174.21652,76.58071,56.13651,76.83222,56.50687
1975-07-23,133.64666,135.12409,174.26777,134.68204,173.13218,76.83132,56.49624,77.08463,56.8704
1975-07-24,133.20837,134.68663,173.11611,134.24432,171.98354,77.0966,56.87956,77.35178,57.25773
1975-07-25,131.84498,133.31677,169.57206,132.8764,168.45617,77.89658,58.05342,78.15587,58.44156
1975-07-26,131.55385,133.02745,168.81354,132.58642,167.69894,78.08167,58.32264,78.34243,58.71387
1975-07-27,131.51499,132.99222,168.70241,132.55001,167.58551,78.11821,58.37058,78.3798,58.76319
1975-07-28,131.3031,132.78238,168.14837,132.33966,167.03176,78.25728,58.57177,78.52013,58.96692
1975-07-29,131.76479,133.25596,169.32323,132.8096,168.19377,77.99679,58.17414,78.25995,58.56839
1975-07-30,132.80177,134.31421,171.99862,133.86161,170.84408,77.38609,57.25917,77.64887,57.64973
1975-07-31,133.36289,134.88925,173.46537,134.4324,172.29523,77.05601,56.76953,77.31897,57.15869
1975-08-01,132.10743,133.62778,170.203,133.17267,169.04849,77.7884,57.84363,78.0553,58.24227
1975-08-02,131.68329,133.20478,169.10809,132.74935,167.95666,78.04598,58.2218,78.31477,58.62454
1975-08-03,131.52763,133.05153,168.70319,132.59532,167.5513,78.14619,58.36668,78.41607,58.77156
1975-08-04,131.10688,132.63154,167.62288,132.17515,166.47407,78.4027,58.74546,78.67447,59.15446
1975-08-05,129.04105,130.55116,162.34918,130.09918,161.22944,79.64237,60.59874,79.92011,61.02316
1975-08-06,129.27633,130.79413,162.93979,130.33991,161.81241,79.50327,60.38283,79.78141,60.80709
1975-08-07,130.16689,131.70425,165.19596,131.24391,164.04624,78.95664,59.54928,79.23453,59.97021
1975-08-08,129.86576,131.40439,164.43587,130.94371,163.28777,79.13979,59.8235,79.41921,60.24771
1975-08-09,129.99311,131.53746,164.76156,131.07521,163.60804,79.06258,59.70489,79.34249,60.12942
1975-08-10,130.42424,131.98033,165.86328,131.51451,164.69726,78.7991,59.30524,79.07924,59.72869
1975-08-11,131.0399,132.61107,167.44194,132.14084,166.25894,78.42479,58.74019,78.70501,59.16174
1975-08-12,131.55291,133.13734,168.76388,132.66291,167.56619,78.1159,58.27586,78.39628,58.69598
1975-08-13,130.02368,131.59858,164.85569,131.12708,163.6792,79.02107,59.62482,79.30623,60.05695
1975-08-14,129.07425,130.6454,162.46048,130.17514,161.29535,79.59582,60.49052,79.88444,60.93104
1975-08-15,130.15839,131.75212,165.2085,131.27508,164.01664,78.9217,59.46507,79.20961,59.90077
1975-08-16,130.27085,131.87044,165.50012,131.39165,164.30304,78.85111,59.35788,79.13952,59.79393
1975-08-17,130.12273,131.72473,165.12935,131.24496,163.93182,78.9385,59.48865,79.22799,59.9268
1975-08-18,129.7584,131.36104,164.21327,130.88137,163.01842,79.15653,59.81645,79.44778,60.25846
1975-08-19,127.64144,129.22767,158.87426,128.75274,157.71126,80.44239,61.75901,80.74007,62.21797
1975-08-20,124.30902,125.86444,150.60079,125.39895,149.49039,82.53599,64.97284,82.84345,65.45882
1975-08-21,124.87977,126.45002,151.99719,125.9797,150.87122,82.15237,64.36797,82.45986,64.85174
1975-08-22,126.47032,128.07037,155.88704,127.59124,154.72516,81.10137,62.71953,81.40688,63.19396
1975-08-23,127.31484,128.93443,157.98328,128.4494,156.79939,80.55737,61.8761,80.8625,62.34676
1975-08-24,127.96653,129.6025,159.61128,129.1124,158.40935,80.14457,61.23946,80.44964,61.7076
1975-08-25,128.25181,129.89664,160.32563,129.40395,159.11455,79.96855,60.96746,80.27392,61.43498
1975-08-26,126.80654,128.44128,156.71918,127.95169,155.52918,80.87394,62.34363,81.18431,62.82409
1975-08-27,127.19088,128.83628,157.66416,128.34357,156.46266,80.64079,61.97734,80.9514,62.45672
1975-08-28,130.23368,131.93036,165.21675,131.4223,163.94935,78.71997,59.01801,79.02534,59.47784
1975-08-29,131.24046,132.95941,167.76938,132.4447,166.47538,78.12548,58.11852,78.43023,58.57389
1975-08-30,131.11046,132.83206,167.42232,132.31634,166.12786,78.21972,58.25082,78.52558,58.70832
1975-08-31,130.27254,131.99057,165.27643,131.47626,163.99294,78.73434,59.00943,79.04354,59.47487
1975-09-01,129.44557,131.16023,163.17228,130.64692,161.8996,79.24883,59.7727,79.56139,60.24618
1975-09-02,129.42236,131.14096,163.10025,130.62622,161.82522,79.27907,59.81062,79.59246,60.28547
1975-09-03,129.57651,131.30143,163.47859,130.78471,162.1974,79.19791,59.68144,79.51176,60.15646
1975-09-04,130.07858,131.81716,164.74279,131.2963,163.4465,78.90198,59.22897,79.21593,59.70232
1975-09-05,129.31255,131.04823,162.80056,130.52852,161.51416,79.3775,59.9364,79.69466,60.41737
1975-09-06,129.41029,131.15119,163.036,130.62989,161.74472,79.33077,59.85916,79.64848,60.34064
1975-09-07,129.755,131.50645,163.89825,130.98196,162.59594,79.13186,59.55223,79.44981,60.03281
1975-09-08,129.835,131.59166,164.08901,131.06552,162.78218,79.0969,59.49277,79.41545,59.97398
1975-09-09,127.64729,129.38392,158.55949,128.86381,157.28963,80.44234,61.50904,80.76802,62.00916
1975-09-10,126.6173,128.34765,155.99692,127.82935,154.74195,81.10531,62.51498,81.43513,63.02551
1975-09-11,126.37352,128.10499,155.38777,127.58626,154.13443,81.27437,62.76875,81.60574,63.28268
1975-09-12,126.38598,128.12155,155.41004,127.60172,154.15375,81.27794,62.76808,81.61005,63.28314
1975-09-13,126.27447,128.01256,155.12775,127.49196,153.87087,81.36133,62.8906,81.69455,63.40784
1975-09-14,126.14485,127.88521,154.80078,127.36386,153.54364,81.45696,63.03198,81.79133,63.55158
1975-09-15,126.02938,127.77201,154.50843,127.24991,153.25081,81.54413,63.16024,81.87962,63.68208
1975-09-16,125.10863,126.84622,152.24838,126.32574,151.00378,82.15245,64.09507,82.49189,64.62687
1975-09-17,126.37277,128.1375,155.32917,127.60879,154.05259,81.33211,62.80799,81.67001,63.33202
1975-09-18,129.43444,131.25326,162.86401,130.70848,161.51726,79.37019,59.77095,79.70212,60.27303
1975-09-19,132.5446,134.41868,170.69805,133.85741,169.2779,77.47288,56.90624,77.79901,57.38747
1975-09-20,132.41385,134.29043,170.34922,133.72827,168.92878,77.5635,57.03253,77.89074,57.51591
1975-09-21,132.06441,133.94149,169.44023,133.37909,168.0234,77.782,57.34695,78.11108,57.83435
1975-09-22,131.91517,133.79427,169.0449,133.23135,167.62817,77.88445,57.49103,78.21471,57.98075
1975-09-23,133.4927,135.40468,173.09056,134.83188,171.63213,76.96451,56.12574,77.29269,56.60653
